national_park,date_established,visitors,description,state,latitude,longitude,acres,year_established,us_location
Acadia,2019-02-26,4069098,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[14][15]",Maine,44.35,-68.21666666666667,49071.4,2019,East
American Samoa,1988-10-31,8495,"The southernmost national park is on three Samoan islands in the South Pacific. It protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[16]",American Samoa,-14.25,-170.68333333333334,8256.67,1988,West
Arches,1971-11-12,1806865,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[17] Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[18]",Utah,38.68333333333333,-109.56666666666666,76678.98,1971,West
Badlands,1978-11-10,1224226,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies within the drainage basin of the White River, in southwestern South Dakota. They contain the largest known assemblage of late Eocene and Oligocene mammal fossils.[19] Wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[20]",South Dakota,43.75,-102.5,242755.94,1978,West
Big Bend,1944-06-12,581220,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[21] (BR)[22]",Texas,29.25,-103.25,801163.21,1944,West
Biscayne,1980-06-28,705655,"The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and the peregrine falcon.[23]",Florida,25.65,-80.08333333333333,172971.11,1980,East
Black Canyon of the Gunnison,1999-10-21,308910,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow.[24]",Colorado,38.56666666666667,-107.71666666666667,30779.83,1999,West
Bryce Canyon,2028-02-25,2104600,"Bryce Canyon is a geological amphitheater on southern Utah's Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[25]",Utah,37.56666666666667,-112.18333333333334,35835.08,2028,West
Canyonlands,1964-09-12,911594,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park contains thousands of rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[26]",Utah,38.2,-109.93333333333334,337597.83,1964,West
Capitol Reef,1971-12-18,1405353,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, eroded buttes, and sandstone domes, including one shaped like the United States Capitol.[27]",Utah,38.2,-111.16666666666667,241904.5,1971,West
